甘肃频道,#genre#
卓尼综合,http://pili-live-hls.hfmt.net/gntv/zntv.m3u8
永昌综合,http://kkk.jjjj.jiduo.me/api.php
甘南综合,http://kkk.jjjj.jiduo.me/api.php
临潭综合,http://pili-live-hls.hfmt.net/gntv/lttv.m3u8
碌曲综合,http://pili-live-hls.hfmt.net/gntv/lqtv.m3u8
玛曲综合,http://pili-live-hls.hfmt.net/gntv/mqtv.m3u8
甘南综合,http://pili-live-hls.hfmt.net/gntv/gnhytv.m3u8
夏河综合,http://pili-live-hls.hfmt.net/gntv/xhtv.m3u8
甘肃都市,https://satellitepull.cnr.cn/live/wxgsdstb/playlist.m3u8
西峰综合,http://pili-live-rtmp.luan2.hfmt.net/luan2/xifeng/123456.m3u8
舟曲新闻,http://pili-live-hls.hfmt.net/gntv/zqtv.m3u8
甘肃经济,https://satellitepull.cnr.cn/live/wxgshhzs/playlist.m3u8
