宁夏频道,#genre#
宁夏经济,http://satellitepull.cnr.cn/live/wxnxjjgb/playlist.m3u8
吴忠综合,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=a984d5&tk=6949f8ce7202
吴忠公共,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=784bdf&tk=6949f8ce7202
宁夏经济,https://ls.qingting.fm/live/1841/64k.m3u8
宁夏｜大通电视台,http://dtrmlive.qhdtrm.cn/testpush/sd/live.m3u8
宁夏｜化隆综合,http://livecdn.dmqhyadmin.com/hls/xjhualong.m3u8
宁夏｜门源综合,http://livecdn.dmqhyadmin.com/hls/xjmenyuan.m3u8?zqinghd
宁夏｜民和综合,http://livecdn.dmqhyadmin.com/hls/xjminhe.m3u8?zqinghd
宁夏经济,https://satellitepull.cnr.cn/live/wxnxjjgb/playlist.m3u8
宁夏｜西宁生活服务,https://liveout.xntv.tv/a65jur/90p2i1.m3u8?zqinghd
宁夏｜西宁新闻综合,https://liveout.xntv.tv/a65jur/96iln2.m3u8?zqinghd
宁夏｜兴海综合,http://lived.dmqhyadmin.com/xhzhpd/sd/live.m3u8
